19274,# doc = MVI_1618.2.txt,,,,,,,,,,,,,,,,
19275,# speaker = Ольга,,,,,,,,,,,,,,,,
19276,# sent = 1426,,,,,,,,,,,,,,,,
19277,,Однажды,ОДНАЖДЫ,ADV -,,,_Однажды_ довелось нам быть,ы,д,ж,а,н,д,ADV,ОДНАЖДЫ,ADV -,Ы
19278,,довелось,ДОВЕСТИСЬ,V pf praet sg indic n -,,,Однажды _довелось_ нам быть в,ь,с,о,л,е,в,V,ДОВЕСТИСЬ,V pf praet sg indic n -,Ь
19279,,нам,МЫ,SPRO pl 1p - dat,,,Однажды довелось _нам_ быть в Африке,м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
19280,,быть,БЫТЬ,V ipf - - inf - -,,,Однажды довелось нам _быть_ в Африке .,ь,т,ы,б,,,V,БЫТЬ,V ipf - - inf - -,Ь
19281,,в,В,PR,,,довелось нам быть _в_ Африке .,в,,,,,,PR,В,PR,В
19282,,Африке,АФРИКА,S f inan loc sg,,,нам быть в _Африке_ .,е,к,и,р,ф,а,S,АФРИКА,S f inan loc sg,А
19283,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19284,,,,,,,,,,,,,,,,,
19285,# sent = 1427,,,,,,,,,,,,,,,,
19286,"<distinct form=""",,,,,,,,,,,,,,,,
19287,<dist>,ээ,,,,,,,,,,,,,,,
19288,""">",,,,,,,,,,,,,,,,
19289,,эээ,ЭЭЭ,INTJ,,,"ээ _эээ_ , мы",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19290,</distinct>,,,,,,,,,,,,,,,,
19291,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19292,,мы,МЫ,SPRO pl 1p - nom,,,"эээ , _мы_ путешествовали по Африке",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19293,,путешествовали,ПУТЕШЕСТВОВАТЬ,V ipf praet pl indic - -,,,", мы _путешествовали_ по Африке два",и,л,а,в,о,в,V,ПУТЕШЕСТВОВАТЬ,V ipf praet pl indic - -,Ь
19294,,по,ПО,PR,,,", мы путешествовали _по_ Африке два ...",о,п,,,,,PR,ПО,PR,О
19295,,Африке,АФРИКА,S f inan loc sg,,,мы путешествовали по _Африке_ два ... две,е,к,и,р,ф,а,S,АФРИКА,S f inan loc sg,А
19296,,два,ДВА,NUM acc f inan -,,,путешествовали по Африке _два_ ... две недели,а,в,д,,,,NUM,ДВА,NUM acc m inan,А
19297,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19298,,две,ДВА,NUM acc m inan,,,Африке два ... _две_ недели всего лишь,е,в,д,,,,NUM,ДВА,NUM nom f -,А
19299,,недели,НЕДЕЛЯ,S f inan acc pl,,,два ... две _недели_ всего лишь и,и,л,е,д,е,н,S,НЕДЕЛЯ,S f inan gen sg,Я
19300,,всего,ВСЕГО,PART,,,... две недели _всего_ лишь и в,о,г,е,с,в,,APRO,ВЕСЬ,A - acc sg plen m anim,О
19301,,лишь,ЛИШЬ,PART,,,две недели всего _лишь_ и в основном,ь,ш,и,л,,,PART,ЛИШЬ,PART,Ь
19302,,и,И,CONJ,,,недели всего лишь _и_ в основном были,и,,,,,,CONJ,И,CONJ,И
19303,,в,В,PR,,,всего лишь и _в_ основном были в,в,,,,,,PR,В,PR,В
19304,,основном,ОСНОВНОЙ,A - loc sg plen m -,,,лишь и в _основном_ были в Уганде,м,о,н,в,о,н,A,ОСНОВНОЙ,A - loc sg plen m -,Й
19305,,были,БЫТЬ,V ipf praet pl indic - -,,,и в основном _были_ в Уганде и,и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
19306,,в,В,PR,,,в основном были _в_ Уганде и в,в,,,,,,PR,В,PR,В
19307,,Уганде,УГАНДА,S f inan loc sg,,,основном были в _Уганде_ и в Кении,е,д,н,а,г,у,S,УГАНДА,S m anim ins sg,А
19308,,и,И,CONJ,,,были в Уганде _и_ в Кении .,и,,,,,,CONJ,И,CONJ,И
19309,,в,В,PR,,,в Уганде и _в_ Кении .,в,,,,,,PR,В,PR,В
19310,,Кении,КЕНИЯ,S f inan loc sg,,,Уганде и в _Кении_ .,и,и,н,е,к,,S,КЕНИЯ,S f inan loc sg,Я
19311,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19312,,,,,,,,,,,,,,,,,
19313,# sent = 1428,,,,,,,,,,,,,,,,
19314,"<distinct form=""",,,,,,,,,,,,,,,,
19315,<dist>,э,,,,,,,,,,,,,,,
19316,""">",,,,,,,,,,,,,,,,
19317,,эээ,ЭЭЭ,INTJ,,,"э _эээ_ , Уганда",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19318,</distinct>,,,,,,,,,,,,,,,,
19319,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19320,,Уганда,УГАНДА,S f inan nom sg,,,"эээ , _Уганда_ - страна небогатая",а,д,н,а,г,у,S,УГАНДА,S f inan nom sg,А
19321,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
19322,,страна,СТРАНА,S f inan nom sg,,,", Уганда - _страна_ небогатая ,",а,н,а,р,т,с,S,СТРАНА,S f inan nom sg,А
19323,,небогатая,НЕБОГАТЫЙ,A - nom sg plen f -,,,"Уганда - страна _небогатая_ , прям",я,а,т,а,г,о,A,НЕБОГАТЫЙ,A - nom sg plen f -,Й
19324,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19325,"<distinct form=""",,,,,,,,,,,,,,,,
19326,<dist>,прям,,,,,,,,,,,,,,,
19327,""">",,,,,,,,,,,,,,,,
19328,,прямо,ПРЯМО,ADV -,,,"прям _прямо_ скажем ,",о,м,я,р,п,,ADV,ПРЯМО,ADV -,О
19329,</distinct>,,,,,,,,,,,,,,,,
19330,,скажем,СКАЖЕМ,V praes pl 1p,,,"прямо _скажем_ , если не",м,е,ж,а,к,с,ADV,СКАЖЕМ,ADV -,М
19331,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19332,,если,ЕСЛИ,CONJ,,,"скажем , _если_ не сказать бедная",и,л,с,е,,,CONJ,ЕСЛИ,CONJ,И
19333,,не,НЕ,PART,,,"скажем , если _не_ сказать бедная ,",е,н,,,,,PART,НЕ,PART,Е
19334,,сказать,СКАЗАТЬ,V pf - - inf - -,,,", если не _сказать_ бедная , но",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
19335,,бедная,БЕДНЫЙ,A - nom sg plen f -,,,"если не сказать _бедная_ , но тем не менее",я,а,н,д,е,б,A,БЕДНЫЙ,A - nom sg plen f -,Й
19336,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19337,,но,НО,CONJ,,,"сказать бедная , _но_ тем не менее там тоже",о,н,,,,,CONJ,НО,CONJ,О
19338,,тем не менее,тем не менее,PARENTH,,,"бедная , но _тем не менее_ там тоже есть",е,е,н,е,м,,PARENTH,тем не менее,ADV -,е
19339,,там,ТАМ,ADVPRO-,,,", но тем не менее _там_ тоже есть много",м,а,т,,,,ADV,ТАМ,ADV -,М
19340,,тоже,ТОЖЕ,ADV-,,,но тем не менее там _тоже_ есть много чего,е,ж,о,т,,,PART,ТОЖЕ,PART,Е
19341,,есть,БЫТЬ,V ipf praes sg indic - 3p,,,тем не менее там тоже _есть_ много чего посмотреть,ь,т,с,е,,,V,БЫТЬ,V ipf praes sg indic - 3p,Ь
19342,,много,МНОГО,NUM-0,,,там тоже есть _много_ чего посмотреть .,о,г,о,н,м,,ADV,МНОГО,ADV -,О
19343,,чего,ЧТО,SPRO n inan gen sg,,,тоже есть много _чего_ посмотреть .,о,г,е,ч,,,SPRO,ЧТО,S n - gen sg,О
19344,,посмотреть,ПОСМОТРЕТЬ,V pf - - inf - -,,,есть много чего _посмотреть_ .,ь,т,е,р,т,о,V,ПОСМОТРЕТЬ,V pf - - inf - -,Ь
19345,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19346,,,,,,,,,,,,,,,,,
19347,# sent = 1429,,,,,,,,,,,,,,,,
19348,,Одно,ОДИН,ANUM - nom sg plen n -,,,. _Одно_ из самых запоминающихся,о,н,д,о,,,ANUM,ОДИН,A - nom sg plen n -,Н
19349,,из,ИЗ,PR,,,Одно _из_ самых запоминающихся мест,з,и,,,,,PR,ИЗ,PR,З
19350,,самых,САМЫЙ,APRO - gen pl,,,Одно из _самых_ запоминающихся мест -,х,ы,м,а,с,,A,САМЫЙ,A - gen pl plen - -,Й
19351,,запоминающихся,ЗАПОМИНАТЬСЯ,PARTCP ipf inpraes gen pl plen - act -,,,Одно из самых _запоминающихся_ мест - это,я,с,х,и,щ,ю,PARTCP,ЗАПОМИНАТЬСЯ,PARTCP ipf inpraes loc pl plen - act -,Я
19352,,мест,МЕСТО,S n inan gen pl,,,из самых запоминающихся _мест_ - это угандийский,т,с,е,м,,,S,МЕСТО,S n inan gen pl,О
19353,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
19354,,это,ЭТО,SPRO n - nom sg,,,"запоминающихся мест - _это_ угандийский зоопарк ,",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
19355,,угандийский,УГАНДИЙСКИЙ,A - nom sg plen m,,,"мест - это _угандийский_ зоопарк , в",й,и,к,с,й,и,A,УГАНДИЙСКИЙ,A - acc sg plen m inan,Й
19356,,зоопарк,ЗООПАРК,S m inan nom sg,,,"- это угандийский _зоопарк_ , в Энтебе",к,р,а,п,о,о,S,ЗООПАРК,S m inan acc sg,К
19357,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19358,,в,В,PR,,,"угандийский зоопарк , _в_ Энтебе он ,",в,,,,,,PR,В,PR,В
19359,,Энтебе,ЭНТЕБЕ,S m 0,,,"зоопарк , в _Энтебе_ он , по-моему",е,б,е,т,н,э,S,ЭНТЕБ,S m inan gen sg,Е
19360,,он,ОН,SPRO sg 3p m nom,,,", в Энтебе _он_ , по-моему ,",н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
19361,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19362,,по-моему,ПО-МОЕМУ,PARENTH -,,,"Энтебе он , _по-моему_ , находится .",у,м,е,о,м,-,ADV,ПО-МОЕМУ,ADV -,У
19363,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19364,,находится,НАХОДИТЬСЯ,V ipf praes sg indic - 3p,,,", по-моему , _находится_ .",я,с,т,и,д,о,V,НАХОДИТЬСЯ,V ipf praes sg indic - 3p,Я
19365,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19366,,,,,,,,,,,,,,,,,
19367,# sent = 1430,,,,,,,,,,,,,,,,
19368,,Вообще,ВООБЩЕ,PARENTH -,,,. _Вообще_ зоопарки я не,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
19369,,зоопарки,ЗООПАРК,S m inan acc pl,,,Вообще _зоопарки_ я не люблю,и,к,р,а,п,о,S,ЗООПАРК,S m inan acc pl,К
19370,,я,Я,SPRO sg 1p - nom,,,"Вообще зоопарки _я_ не люблю ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
19371,,не,НЕ,PART,,,"Вообще зоопарки я _не_ люблю , но",е,н,,,,,PART,НЕ,PART,Е
19372,,люблю,ЛЮБИТЬ,V ipf praes sg indic - 1p,,,"зоопарки я не _люблю_ , но эээ",ю,л,б,ю,л,,V,ЛЮБИТЬ,V ipf praes sg indic - 1p,Ь
19373,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19374,,но,НО,CONJ,,,"не люблю , _но_ эээ тем не менее вот",о,н,,,,,CONJ,НО,CONJ,О
19375,,эээ,ЭЭЭ,INTJ,,,"люблю , но _эээ_ тем не менее вот в",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19376,,тем не менее,тем не менее,PARENTH,,,", но эээ _тем не менее_ вот в Уганде",е,е,н,е,м,,PARENTH,тем не менее,ADV -,е
19377,,вот,ВОТ,PART,,,но эээ тем не менее _вот_ в Уганде мы,т,о,в,,,,PART,ВОТ,PART,Т
19378,,в,В,PR,,,эээ тем не менее вот _в_ Уганде мы пошли,в,,,,,,PR,В,PR,В
19379,,Уганде,УГАНДА,S f inan loc sg,,,"тем не менее вот в _Уганде_ мы пошли ,",е,д,н,а,г,у,S,УГАНДА,S m anim ins sg,А
19380,,мы,МЫ,SPRO pl 1p - nom,,,"вот в Уганде _мы_ пошли , так как",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19381,,пошли,ПОЙТИ,V pf praet pl indic - -,,,"в Уганде мы _пошли_ , так как нам",и,л,ш,о,п,,V,ПОЙТИ,V pf praet pl indic - -,И
19382,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19383,,так как,так как,CONJ,,,"мы пошли , _так как_ нам было предложено",к,а,к,,к,а,CONJ,так как,CONJ,к
19384,,нам,МЫ,SPRO pl 1p - dat,,,"пошли , так как _нам_ было предложено ,",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
19385,,было,БЫТЬ,V ipf praet sg indic n -,,,", так как нам _было_ предложено , и",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
19386,,предложено,ПРЕДЛОЖИТЬ,PARTCP pf praet - sg brev n pass -,,,"так как нам было _предложено_ , и я",о,н,е,ж,о,л,PARTCP,ПРЕДЛОЖИТЬ,PARTCP pf praet - sg brev n pass -,Ь
19387,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19388,,и,И,CONJ,,,"было предложено , _и_ я подумала ,",и,,,,,,CONJ,И,CONJ,И
19389,,я,Я,SPRO sg 1p - nom,,,"предложено , и _я_ подумала , что",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
19390,,подумала,ПОДУМАТЬ,V pf praet sg indic f -,,,", и я _подумала_ , что ,",а,л,а,м,у,д,V,ПОДУМАТЬ,V pf praet sg indic f -,Ь
19391,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19392,,что,ЧТО,CONJ,,,"я подумала , _что_ , наверное ,",о,т,ч,,,,CONJ,ЧТО,CONJ,О
19393,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19394,,наверное,НАВЕРНОЕ,PARENTH -,,,", что , _наверное_ , там животные",е,о,н,р,е,в,ADV,НАВЕРНОЕ,ADV -,Е
19395,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19396,,там,ТАМ,ADVPRO-,,,", наверное , _там_ животные , те",м,а,т,,,,ADV,ТАМ,ADV -,М
19397,,животные,ЖИВОТНОЕ,S n anim nom pl,,,"наверное , там _животные_ , те самые",е,ы,н,т,о,в,S,ЖИВОТНОЕ,S n anim nom pl,Е
19398,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19399,,те,ТОТ,APRO - nom pl,,,"там животные , _те_ самые , которые",е,т,,,,,A,ТОТ,A - nom pl plen - -,Т
19400,,самые,САМЫЙ,APRO - nom pl,,,"животные , те _самые_ , которые ммм",е,ы,м,а,с,,A,САМЫЙ,A - nom pl plen - -,Й
19401,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19402,,которые,КОТОРЫЙ,APRO - acc pl plen - inan,,,"те самые , _которые_ ммм мы видим",е,ы,р,о,т,о,APRO,КОТОРЫЙ,A - acc pl plen - inan,Й
19403,,ммм,МММ,INTJ,,,"самые , которые _ммм_ мы видим на",м,м,м,,,,S,МММ,S n inan loc sg,М
19404,,мы,МЫ,SPRO pl 1p - nom,,,", которые ммм _мы_ видим на картинках",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19405,,видим,ВИДЕТЬ,V ipf praes pl indic - 1p,,,"которые ммм мы _видим_ на картинках ,",м,и,д,и,в,,V,ВИДЕТЬ,V ipf praes pl indic - 1p,Ь
19406,,на,НА,PR,,,"ммм мы видим _на_ картинках , там",а,н,,,,,PR,НА,PR,А
19407,,картинках,КАРТИНКА,S f inan loc pl,,,"мы видим на _картинках_ , там мы",х,а,к,н,и,т,S,КАРТИНКА,S f inan loc pl,А
19408,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19409,,там,ТАМ,ADVPRO-,,,"на картинках , _там_ мы их увидим",м,а,т,,,,ADV,ТАМ,ADV -,М
19410,,мы,МЫ,SPRO pl 1p - nom,,,"картинках , там _мы_ их увидим ,",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19411,,их,ОНИ,SPRO pl - - acc,,,", там мы _их_ увидим , можно",х,и,,,,,SPRO,ОНИ,SPRO pl - - acc,И
19412,,увидим,УВИДЕТЬ,V pf praet sg indic,,,"там мы их _увидим_ , можно сказать",м,и,д,и,в,у,V,УВИДЕТЬ,V pf - pl imper - 1p,Ь
19413,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19414,,можно,МОЖНО,PRAEDIC,,,"их увидим , _можно_ сказать , в",о,н,ж,о,м,,PRAEDIC,МОЖНО,PRAEDIC,О
19415,,сказать,СКАЗАТЬ,V pf - - inf - -,,,"увидим , можно _сказать_ , в дикой",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
19416,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19417,,в,В,PR,,,"можно сказать , _в_ дикой природе .",в,,,,,,PR,В,PR,В
19418,,дикой,ДИКИЙ,A - loc sg plen f -,,,"сказать , в _дикой_ природе .",й,о,к,и,д,,A,ДИКИЙ,A - loc sg plen f -,Й
19419,,природе,ПРИРОДА,S f inan loc sg,,,", в дикой _природе_ .",е,д,о,р,и,р,S,ПРИРОДА,S f inan loc sg,А
19420,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19421,,,,,,,,,,,,,,,,,
19422,# sent = 1431,,,,,,,,,,,,,,,,
19423,,Так,ТАК,ADV -,,,. _Так_ оно и случилось,к,а,т,,,,ADV,ТАК,ADV -,К
19424,,оно,ОНО,SPRO sg 3p n nom,,,Так _оно_ и случилось .,о,н,о,,,,SPRO,ОНО,SPRO sg 3p n nom,О
19425,,и,И,CONJ,,,Так оно _и_ случилось .,и,,,,,,CONJ,И,CONJ,И
19426,,случилось,СЛУЧИТЬСЯ,V pf praet sg indic n -,,,Так оно и _случилось_ .,ь,с,о,л,и,ч,V,СЛУЧИТЬСЯ,V pf praet sg indic n -,Я
19427,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19428,,,,,,,,,,,,,,,,,
19429,# sent = 1432,,,,,,,,,,,,,,,,
19430,,Вот,ВОТ,PART,,,". _Вот_ , угандийский зоопарк",т,о,в,,,,PART,ВОТ,PART,Т
19431,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19432,,угандийский,УГАНДИЙСКИЙ,A - nom sg plen m,,,"Вот , _угандийский_ зоопарк - это",й,и,к,с,й,и,A,УГАНДИЙСКИЙ,A - acc sg plen m inan,Й
19433,,зоопарк,ЗООПАРК,S m inan nom sg,,,"Вот , угандийский _зоопарк_ - это ,",к,р,а,п,о,о,S,ЗООПАРК,S m inan acc sg,К
19434,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
19435,,это,ЭТО,SPRO n - nom sg,,,"угандийский зоопарк - _это_ , конечно ,",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
19436,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19437,,конечно,КОНЕЧНО,PARENTH-,,,"- это , _конечно_ , интересно ,",о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,О
19438,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19439,,интересно,ИНТЕРЕСНЫЙ,A - - sg brev n -,,,", конечно , _интересно_ , потому что там",о,н,с,е,р,е,A,ИНТЕРЕСНЫЙ,A - - sg brev n -,Й
19440,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19441,,потому что,потому что,CONJ,,,", интересно , _потому что_ там нет клеток",о,т,ч,,у,м,CONJ,потому что,CONJ,о
19442,,там,ТАМ,ADVPRO-,,,"интересно , потому что _там_ нет клеток и",м,а,т,,,,ADV,ТАМ,ADV -,М
19443,,нет,НЕТ,ADV -,,,", потому что там _нет_ клеток и мммм",т,е,н,,,,ADV,НЕТ,ADV -,Т
19444,,клеток,КЛЕТКА,S f inan gen pl,,,потому что там нет _клеток_ и мммм животные,к,о,т,е,л,к,S,КЛЕТКА,S f inan gen pl,А
19445,,и,И,CONJ,,,"там нет клеток _и_ мммм животные ,",и,,,,,,CONJ,И,CONJ,И
19446,,мммм,ММММ,INTJ,,,"нет клеток и _мммм_ животные , самые",м,м,м,м,,,NONLEX,ММММ,NONLEX,М
19447,,животные,ЖИВОТНОЕ,S n anim nom pl,,,"клеток и мммм _животные_ , самые ,",е,ы,н,т,о,в,S,ЖИВОТНОЕ,S n anim nom pl,Е
19448,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19449,,самые,САМЫЙ,APRO - nom pl,,,"мммм животные , _самые_ , с ...",е,ы,м,а,с,,A,САМЫЙ,A - acc pl plen - inan,Й
19450,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19451,,с,С,PR,,,", самые , _с_ ... самые -",с,,,,,,PR,С,PR,С
19452,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19453,,самые,САМЫЙ,APRO - nom pl,,,", с ... _самые_ - самые разнообразные",е,ы,м,а,с,,A,САМЫЙ,A - acc pl plen - inan,Й
19454,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
19455,,самые,САМЫЙ,APRO - nom pl,,,"... самые - _самые_ разнообразные , они",е,ы,м,а,с,,A,САМЫЙ,A - nom pl plen - -,Й
19456,,разнообразные,РАЗНООБРАЗНЫЙ,A - nom pl plen - -,,,"самые - самые _разнообразные_ , они на",е,ы,н,з,а,р,A,РАЗНООБРАЗНЫЙ,A - nom pl plen - -,Й
19457,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19458,,они,ОНИ,SPRO pl - - nom,,,"самые разнообразные , _они_ на ... ну",и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
19459,,на,НА,PR,,,"разнообразные , они _на_ ... ну почти",а,н,,,,,PR,НА,PR,А
19460,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19461,,ну,НУ,PART,,,они на ... _ну_ почти что в,у,н,,,,,PART,НУ,PART,У
19462,,почти,ПОЧТИ,ADV -,,,на ... ну _почти_ что в естественной,и,т,ч,о,п,,ADV,ПОЧТИ,ADV -,И
19463,,что,ЧТО,CONJ,,,... ну почти _что_ в естественной среде,о,т,ч,,,,CONJ,ЧТО,CONJ,О
19464,,в,В,PR,,,"ну почти что _в_ естественной среде ,",в,,,,,,PR,В,PR,В
19465,,естественной,ЕСТЕСТВЕННЫЙ,A - loc sg plen f -,,,"почти что в _естественной_ среде , от",й,о,н,н,е,в,A,ЕСТЕСТВЕННЫЙ,A - loc sg plen f -,Й
19466,,среде,СРЕДА,S f inan loc sg,,,"что в естественной _среде_ , от ...",е,д,е,р,с,,S,СРЕДА,S f inan loc sg,А
19467,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19468,,от,ОТ,PR,,,"естественной среде , _от_ ... от зрителя",т,о,,,,,PR,ОТ,PR,Т
19469,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19470,,от,ОТ,PR,,,", от ... _от_ зрителя не отгорожены",т,о,,,,,PR,ОТ,PR,Т
19471,,зрителя,ЗРИТЕЛЬ,S m anim gen sg,,,от ... от _зрителя_ не отгорожены там,я,л,е,т,и,р,S,ЗРИТЕЛЬ,S m anim gen sg,Ь
19472,,не,НЕ,PART,,,... от зрителя _не_ отгорожены там буквально,е,н,,,,,PART,НЕ,PART,Е
