19274,# doc = MVI_1618.2.txt,,,,,,,,,,,,,,,,
19473,,отгорожены,ОТГОРОДИТЬ,PARTCP pf praet - pl brev - pass -,,,от зрителя не _отгорожены_ там буквально большими,ы,н,е,ж,о,р,PARTCP,ОТГОРОДИТЬ,PARTCP pf praet - pl brev - pass -,Ь
19474,,там,ТАМ,ADV -,,,зрителя не отгорожены _там_ буквально большими барьерами,м,а,т,,,,ADV,ТАМ,ADV -,М
19475,,буквально,БУКВАЛЬНО,ADV -,,,не отгорожены там _буквально_ большими барьерами .,о,н,ь,л,а,в,ADV,БУКВАЛЬНО,ADV -,О
19476,,большими,БОЛЬШОЙ,A - ins pl plen - -,,,отгорожены там буквально _большими_ барьерами .,и,м,и,ш,ь,л,A,БОЛЬШОЙ,A - ins pl plen - -,Й
19477,,барьерами,БАРЬЕР,S m inan ins pl,,,там буквально большими _барьерами_ .,и,м,а,р,е,ь,S,БАРЬЕР,S m inan ins pl,Р
19478,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19479,,,,,,,,,,,,,,,,,
19480,# sent = 1433,,,,,,,,,,,,,,,,
19481,,Вот,ВОТ,PART,,,". _Вот_ , но сейчас",т,о,в,,,,PART,ВОТ,PART,Т
19482,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19483,,но,НО,CONJ,,,"Вот , _но_ сейчас я хочу",о,н,,,,,CONJ,НО,CONJ,О
19484,,сейчас,СЕЙЧАС,ADV -,,,"Вот , но _сейчас_ я хочу рассказать",с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
19485,,я,Я,SPRO sg 1p - nom,,,", но сейчас _я_ хочу рассказать о",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
19486,,хочу,ХОТЕТЬ,V ipf praes sg indic - 1p,,,но сейчас я _хочу_ рассказать о ...,у,ч,о,х,,,V,ХОТЕТЬ,V ipf praes sg indic - 1p,Ь
19487,,рассказать,РАССКАЗАТЬ,V pf - - inf - -,,,сейчас я хочу _рассказать_ о ... о,ь,т,а,з,а,к,V,РАССКАЗАТЬ,V pf - - inf - -,Ь
19488,,о,О,PR,,,я хочу рассказать _о_ ... о другой,о,,,,,,PR,О,PR,О
19489,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19490,,о,О,PR,,,рассказать о ... _о_ другой вещи .,о,,,,,,PR,О,PR,О
19491,,другой,ДРУГОЙ,APRO - loc sg f -,,,о ... о _другой_ вещи . Когда,й,о,г,у,р,д,A,ДРУГОЙ,A - gen sg plen f -,Й
19492,,вещи,ВЕЩЬ,S f inan loc sg,,,... о другой _вещи_ . Когда мы,и,щ,е,в,,,S,ВЕЩЬ,S f inan loc sg,Ь
19493,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19494,,Когда,КОГДА,CONJ,,,другой вещи . _Когда_ мы приехали в,а,д,г,о,к,,CONJ,КОГДА,CONJ,А
19495,,мы,МЫ,SPRO pl 1p - nom,,,вещи . Когда _мы_ приехали в зоопарк,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19496,,приехали,ПРИЕХАТЬ,V pf praet pl indic - -,,,". Когда мы _приехали_ в зоопарк ,",и,л,а,х,е,и,V,ПРИЕХАТЬ,V pf praet pl indic - -,Ь
19497,,в,В,PR,,,"Когда мы приехали _в_ зоопарк , оказалось",в,,,,,,PR,В,PR,В
19498,,зоопарк,ЗООПАРК,S m inan acc sg,,,"мы приехали в _зоопарк_ , оказалось ,",к,р,а,п,о,о,S,ЗООПАРК,S m inan acc sg,К
19499,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19500,,оказалось,ОКАЗАТЬСЯ,V pf praet sg indic n -,,,"в зоопарк , _оказалось_ , что мы",ь,с,о,л,а,з,V,ОКАЗАТЬСЯ,V pf praet sg indic n -,Я
19501,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19502,,что,ЧТО,CONJ,,,", оказалось , _что_ мы там ,",о,т,ч,,,,CONJ,ЧТО,CONJ,О
19503,,мы,МЫ,SPRO pl 1p - nom,,,"оказалось , что _мы_ там , ну",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19504,,там,ТАМ,ADV -,,,", что мы _там_ , ну можно",м,а,т,,,,ADV,ТАМ,ADV -,М
19505,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19506,,ну,НУ,PART,,,"мы там , _ну_ можно сказать ,",у,н,,,,,PART,НУ,PART,У
19507,,можно,МОЖНО,PRAEDIC,,,"там , ну _можно_ сказать , с",о,н,ж,о,м,,PRAEDIC,МОЖНО,PRAEDIC,О
19508,,сказать,СКАЗАТЬ,V pf - - inf - -,,,", ну можно _сказать_ , с мужем",ь,т,а,з,а,к,V,СКАЗАТЬ,V pf - - inf - -,Ь
19509,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19510,,с,С,PR,,,"можно сказать , _с_ мужем были только",с,,,,,,PR,С,PR,С
19511,,мужем,МУЖ,S m anim ins sg,,,"сказать , с _мужем_ были только",м,е,ж,у,м,,S,МУЖ,S m anim ins sg,Ж
19512,,были,БЫТЬ,V ipf praet pl indic - -,,,", с мужем _были_ только ээ",и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
19513,,только,ТОЛЬКО,PART,,,с мужем были _только_ ээ,о,к,ь,л,о,т,PART,ТОЛЬКО,PART,О
19514,"<distinct form=""",,,,,,,,,,,,,,,,
19515,<dist>,ээ,,,,,,,,,,,,,,,
19516,""">",,,,,,,,,,,,,,,,
19517,,эээ,ЭЭЭ,INTJ,,,"ээ _эээ_ единственные ,",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19518,</distinct>,,,,,,,,,,,,,,,,
19519,,единственные,ЕДИНСТВЕННЫЙ,A - nom pl plen - -,,,"эээ _единственные_ , наверно ,",е,ы,н,н,е,в,A,ЕДИНСТВЕННЫЙ,A - nom pl plen - -,Й
19520,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19521,,наверно,НАВЕРНО,ADV -,,,"единственные , _наверно_ , взрослые ...",о,н,р,е,в,а,ADV,НАВЕРНО,ADV -,О
19522,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19523,,взрослые,ВЗРОСЛЫЙ,S m anim nom pl,,,", наверно , _взрослые_ ... эм ...",е,ы,л,с,о,р,S,ВЗРОСЛЫЙ,S m inan gen sg,Й
19524,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19525,,эм,ЭМ,INTJ,,,", взрослые ... _эм_ ... взрослые посетители",м,э,,,,,INTJ,ЭМ,S n inan nonflex -,М
19526,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19527,,взрослые,ВЗРОСЛЫЙ,A - nom pl plen - -,,,"... эм ... _взрослые_ посетители , но",е,ы,л,с,о,р,A,ВЗРОСЛЫЙ,A - nom pl plen - -,Й
19528,,посетители,ПОСЕТИТЕЛЬ,S m anim nom pl,,,"эм ... взрослые _посетители_ , но было",и,л,е,т,и,т,S,ПОСЕТИТЕЛЬ,S m anim nom pl,Ь
19529,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19530,,но,НО,CONJ,,,"взрослые посетители , _но_ было очень -",о,н,,,,,CONJ,НО,CONJ,О
19531,,было,БЫТЬ,V ipf praet sg indic n -,,,"посетители , но _было_ очень - очень",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
19532,,очень,ОЧЕНЬ,ADV -,,,", но было _очень_ - очень много",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
19533,,-,-,PUNCT,,,,,,,,,,PUNCT,,,
19534,,очень,ОЧЕНЬ,ADV -,,,было очень - _очень_ много детей .,ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
19535,,много,МНОГО,ADV -,,,очень - очень _много_ детей .,о,г,о,н,м,,ADV,МНОГО,ADV -,О
19536,,детей,РЕБЕНОК,S m anim gen pl,,,- очень много _детей_ .,й,е,т,е,д,,S,РЕБЕНОК,S m anim gen pl,К
19537,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19538,,,,,,,,,,,,,,,,,
19539,# sent = 1434,,,,,,,,,,,,,,,,
19540,"<distinct form=""",,,,,,,,,,,,,,,,
19541,<dist>,эээм,,,,,,,,,,,,,,,
19542,""">",,,,,,,,,,,,,,,,
19543,,эм,ЭМ,INTJ,,,"эээм _эм_ , они",м,э,,,,,INTJ,ЭМ,S n inan nonflex -,М
19544,</distinct>,,,,,,,,,,,,,,,,
19545,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19546,,они,ОНИ,SPRO pl - - nom,,,"эм , _они_ съезжались из разных",и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
19547,,съезжались,СЪЕЗЖАТЬСЯ,V ipf praet pl indic - -,,,", они _съезжались_ из разных школ",ь,с,и,л,а,ж,V,СЪЕЗЖАТЬСЯ,V ipf praet pl indic - -,Я
19548,,из,ИЗ,PR,,,", они съезжались _из_ разных школ ,",з,и,,,,,PR,ИЗ,PR,З
19549,,разных,РАЗНЫЙ,A - gen pl plen - -,,,"они съезжались из _разных_ школ , ммм",х,ы,н,з,а,р,A,РАЗНЫЙ,A - gen pl plen - -,Й
19550,,школ,ШКОЛА,S f inan gen pl,,,"съезжались из разных _школ_ , ммм ,",л,о,к,ш,,,S,ШКОЛА,S f inan gen pl,А
19551,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19552,,ммм,МММ,INTJ,,,"разных школ , _ммм_ , их привозили",м,м,м,,,,S,МММ,S n inan loc sg,М
19553,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19554,,их,ОНИ,SPRO pl - - acc,,,", ммм , _их_ привозили на автобусах",х,и,,,,,SPRO,ОНИ,SPRO pl - - acc,И
19555,,привозили,ПРИВОЗИТЬ,V ipf praet pl indic - -,,,"ммм , их _привозили_ на автобусах ,",и,л,и,з,о,в,V,ПРИВОЗИТЬ,V ipf praet pl indic - -,Ь
19556,,на,НА,PR,,,", их привозили _на_ автобусах , они",а,н,,,,,PR,НА,PR,А
19557,,автобусах,АВТОБУС,S m inan loc pl,,,"их привозили на _автобусах_ , они ,",х,а,с,у,б,о,S,АВТОБУС,S m inan loc pl,С
19558,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19559,,они,ОНИ,SPRO pl - - nom,,,"на автобусах , _они_ , как птички",и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
19560,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19561,,как,КАК,CONJ,,,", они , _как_ птички , выпархивали",к,а,к,,,,CONJ,КАК,CONJ,К
19562,,птички,ПТИЧКА,S f anim nom pl,,,"они , как _птички_ , выпархивали ,",и,к,ч,и,т,п,S,ПТИЧКА,S f anim nom pl,А
19563,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19564,,выпархивали,ВЫПАРХИВАТЬ,V ipf praet pl indic - -,,,"как птички , _выпархивали_ , потому что у",и,л,а,в,и,х,V,ВЫПАРХИВАТЬ,V ipf praet pl indic - -,Ь
19565,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19566,,потому что,потому что,CONJ,,,", выпархивали , _потому что_ у каждой школы",о,т,ч,,у,м,CONJ,потому что,CONJ,о
19567,,у,У,PR,,,"выпархивали , потому что _у_ каждой школы своя",у,,,,,,PR,У,PR,У
19568,,каждой,КАЖДЫЙ,APRO - gen sg plen f -,,,", потому что у _каждой_ школы своя форма",й,о,д,ж,а,к,APRO,КАЖДЫЙ,A - gen sg plen f -,Й
19569,,школы,ШКОЛА,S f inan gen sg,,,"потому что у каждой _школы_ своя форма ,",ы,л,о,к,ш,,S,ШКОЛА,S f inan gen sg,А
19570,,своя,СВОЙ,APRO - nom sg plen f -,,,"у каждой школы _своя_ форма , с",я,о,в,с,,,APRO,СВОЙ,A - nom sg plen f -,Й
19571,,форма,ФОРМА,S f inan nom sg,,,"каждой школы своя _форма_ , с ...",а,м,р,о,ф,,S,ФОРМА,S f inan nom sg,А
19572,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19573,,с,С,PR,,,"своя форма , _с_ ... с ...",с,,,,,,PR,С,PR,С
19574,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19575,,с,С,PR,,,", с ... _с_ ... c ...",с,,,,,,PR,С,S - - nonflex -,С
19576,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19577,,c,C,INTJ,,,... с ... _c_ ... свой цвет,c,,,,,,NONLEX,C,NONLEX,C
19578,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19579,,свой,СВОЙ,APRO - nom sg plen m -,,,... c ... _свой_ цвет .,й,о,в,с,,,APRO,СВОЙ,A - nom sg plen m -,Й
19580,,цвет,ЦВЕТ,S m inan nom sg,,,c ... свой _цвет_ .,т,е,в,ц,,,S,ЦВЕТ,S m inan nom sg,Т
19581,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19582,,,,,,,,,,,,,,,,,
19583,# sent = 1435,,,,,,,,,,,,,,,,
19584,,И,И,CONJ,,,. _И_ вот они такая,и,,,,,,CONJ,И,CONJ,И
19585,,вот,ВОТ,PART,,,И _вот_ они такая разношерстная,т,о,в,,,,PART,ВОТ,PART,Т
19586,,они,ОНИ,SPRO pl - - nom,,,И вот _они_ такая разношерстная толпа,и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
19587,,такая,ТАКОЙ,APRO - nom sg plen f -,,,И вот они _такая_ разношерстная толпа м,я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
19588,,разношерстная,РАЗНОШЕРСТНЫЙ,A - nom sg plen f -,,,вот они такая _разношерстная_ толпа м ...,я,а,н,т,с,р,A,РАЗНОШЕРСТНЫЙ,A - nom sg plen f -,Й
19589,,толпа,ТОЛПА,S f inan nom sg,,,они такая разношерстная _толпа_ м ... африканских,а,п,л,о,т,,S,ТОЛПА,S f inan nom sg,А
19590,,м,М,INTJ,,,такая разношерстная толпа _м_ ... африканских детишек,м,,,,,,NONLEX,М,NONLEX,М
19591,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19592,,африканских,АФРИКАНСКИЙ,A - gen pl plen - -,,,толпа м ... _африканских_ детишек гуляла по,х,и,к,с,н,а,A,АФРИКАНСКИЙ,A - gen pl plen - -,Й
19593,,детишек,ДЕТИШКИ,S - anim gen pl,,,м ... африканских _детишек_ гуляла по ...,к,е,ш,и,т,е,S,ДЕТИШКИ,S - anim gen pl,И
19594,,гуляла,ГУЛЯТЬ,V ipf praet sg indic f -,,,... африканских детишек _гуляла_ по ... по,а,л,я,л,у,г,V,ГУЛЯТЬ,V ipf praet sg indic f -,Ь
19595,,по,ПО,PR,,,африканских детишек гуляла _по_ ... по зоопарку,о,п,,,,,PR,ПО,PR,О
19596,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19597,,по,ПО,PR,,,гуляла по ... _по_ зоопарку .,о,п,,,,,PR,ПО,PR,О
19598,,зоопарку,ЗООПАРК,S m inan dat sg,,,по ... по _зоопарку_ .,у,к,р,а,п,о,S,ЗООПАРК,S m inan loc sg,К
19599,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19600,,,,,,,,,,,,,,,,,
19601,# sent = 1436,,,,,,,,,,,,,,,,
19602,,Мы,МЫ,SPRO pl 1p - nom,,,". _Мы_ ходили , смотрели",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
19603,,ходили,ХОДИТЬ,V ipf praet pl indic - -,,,"Мы _ходили_ , смотрели животных",и,л,и,д,о,х,V,ХОДИТЬ,V ipf praet pl indic - -,Ь
19604,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19605,,смотрели,СМОТРЕТЬ,V ipf praet pl indic - -,,,"Мы ходили , _смотрели_ животных , и",и,л,е,р,т,о,V,СМОТРЕТЬ,V ipf praet pl indic - -,Ь
19606,,животных,ЖИВОТНОЕ,S n anim acc pl,,,"ходили , смотрели _животных_ , и тут",х,ы,н,т,о,в,S,ЖИВОТНОЕ,S n anim acc pl,Е
19607,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19608,,и,И,CONJ,,,"смотрели животных , _и_ тут дети нас",и,,,,,,CONJ,И,CONJ,И
19609,,тут,ТУТ,ADV -,,,"животных , и _тут_ дети нас обнаружили",т,у,т,,,,ADV,ТУТ,ADV -,Т
19610,,дети,РЕБЕНОК,S m anim nom pl,,,", и тут _дети_ нас обнаружили .",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
19611,,нас,МЫ,SPRO pl 1p - acc,,,и тут дети _нас_ обнаружили .,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
19612,,обнаружили,ОБНАРУЖИТЬ,V pf praet pl indic - -,,,тут дети нас _обнаружили_ .,и,л,и,ж,у,р,V,ОБНАРУЖИТЬ,V pf praet pl indic - -,Ь
19613,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19614,,,,,,,,,,,,,,,,,
19615,# sent = 1437,,,,,,,,,,,,,,,,
19616,,И,И,CONJ,,,. _И_ я так понимаю,и,,,,,,CONJ,И,CONJ,И
19617,,я,Я,SPRO sg 1p - nom,,,"И _я_ так понимаю ,",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
19618,,так,ТАК,ADV -,,,"И я _так_ понимаю , что",к,а,т,,,,ADV,ТАК,ADV -,К
19619,,понимаю,ПОНИМАТЬ,V ipf praes sg indic - 1p,,,"И я так _понимаю_ , что для",ю,а,м,и,н,о,V,ПОНИМАТЬ,V ipf praes sg indic - 1p,Ь
19620,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19621,,что,ЧТО,CONJ,,,"так понимаю , _что_ для детей тот",о,т,ч,,,,CONJ,ЧТО,CONJ,О
19622,,для,ДЛЯ,PR,,,"понимаю , что _для_ детей тот день",я,л,д,,,,PR,ДЛЯ,PR,Я
19623,,детей,РЕБЕНОК,S m anim gen pl,,,", что для _детей_ тот день тоже",й,е,т,е,д,,S,РЕБЕНОК,S m anim gen pl,К
19624,,тот,ТОТ,APRO - nom sg plen m -,,,что для детей _тот_ день тоже был,т,о,т,,,,APRO,ТОТ,A - nom sg plen m -,Т
19625,,день,ДЕНЬ,S m inan nom sg,,,для детей тот _день_ тоже был памятен,ь,н,е,д,,,S,ДЕНЬ,S m inan nom sg,Ь
19626,,тоже,ТОЖЕ,ADV-,,,"детей тот день _тоже_ был памятен ,",е,ж,о,т,,,PART,ТОЖЕ,PART,Е
19627,,был,БЫТЬ,V ipf praet sg indic m -,,,"тот день тоже _был_ памятен , потому что",л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
19628,,памятен,ПАМЯТНЫЙ,A - - sg brev m -,,,"день тоже был _памятен_ , потому что они",н,е,т,я,м,а,A,ПАМЯТНЫЙ,A - - sg brev m -,Й
19629,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19630,,потому что,потому что,CONJ,,,"был памятен , _потому что_ они впервые увидели",о,т,ч,,у,м,CONJ,потому что,CONJ,о
19631,,они,ОНИ,SPRO pl - - nom,,,"памятен , потому что _они_ впервые увидели белых",и,н,о,,,,SPRO,ОНИ,SPRO pl - - nom,И
19632,,впервые,ВПЕРВЫЕ,ADV -,,,", потому что они _впервые_ увидели белых людей",е,ы,в,р,е,п,ADV,ВПЕРВЫЕ,ADV -,Е
19633,,увидели,УВИДЕТЬ,V pf praet pl indic - -,,,потому что они впервые _увидели_ белых людей .,и,л,е,д,и,в,V,УВИДЕТЬ,V pf praet pl indic - -,Ь
19634,,белых,БЕЛЫЙ,A - acc pl plen anim,,,они впервые увидели _белых_ людей .,х,ы,л,е,б,,A,БЕЛЫЙ,A - gen pl plen - -,Й
19635,,людей,ЧЕЛОВЕК,S m anim acc pl,,,впервые увидели белых _людей_ .,й,е,д,ю,л,,S,ЧЕЛОВЕК,S m anim gen pl,К
19636,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
19637,,,,,,,,,,,,,,,,,
19638,# sent = 1438,,,,,,,,,,,,,,,,
19639,"<distinct form=""",,,,,,,,,,,,,,,,
19640,<dist>,э,,,,,,,,,,,,,,,
19641,""">",,,,,,,,,,,,,,,,
19642,,эээ,ЭЭЭ,INTJ,,,"э _эээ_ , африканские",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19643,</distinct>,,,,,,,,,,,,,,,,
19644,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19645,,африканские,АФРИКАНСКИЙ,A - nom pl plen - -,,,"эээ , _африканские_ дети , сами",е,и,к,с,н,а,A,АФРИКАНСКИЙ,A - nom pl plen - -,Й
19646,,дети,РЕБЕНОК,S m anim nom pl,,,", африканские _дети_ , сами понимаете",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
19647,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19648,,сами,САМ,SPRO - pl,,,"африканские дети , _сами_ понимаете ,",и,м,а,с,,,A,САМ,A - nom pl plen - -,М
19649,,понимаете,ПОНИМАТЬ,V ipf praes pl indic - 2p,,,"дети , сами _понимаете_ , э",е,т,е,а,м,и,V,ПОНИМАТЬ,V ipf praes pl indic - 2p,Ь
19650,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19651,"<distinct form=""",,,,,,,,,,,,,,,,
19652,<dist>,э,,,,,,,,,,,,,,,
19653,""">",,,,,,,,,,,,,,,,
19654,,эээ,ЭЭЭ,INTJ,,,"э _эээ_ , черные",э,э,э,,,,NONLEX,ЭЭЭ,NONLEX,Э
19655,</distinct>,,,,,,,,,,,,,,,,
19656,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19657,,черные,ЧЕРНЫЙ,A - nom pl plen,,,"эээ , _черные_ , и ,",е,ы,н,р,е,ч,A,ЧЕРНЫЙ,A - acc pl plen - inan,Й
19658,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19659,,и,И,CONJ,,,", черные , _и_ , ммм ,",и,,,,,,CONJ,И,CONJ,И
19660,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19661,,ммм,МММ,INTJ,,,", и , _ммм_ , ро ...",м,м,м,,,,S,МММ,S n inan loc sg,М
19662,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
19663,,ро,РО,NONLEX,distort,,", ммм , _ро_ ... мм ...",о,р,,,,,NONLEX,РО,NONLEX,О
19664,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19665,,мм,ММ,INTJ,,,", ро ... _мм_ ... белые взрослые",м,м,,,,,INTJ,ММ,INTJ,М
19666,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
19667,,белые,БЕЛЫЙ,A - nom pl plen - -,,,... мм ... _белые_ взрослые люди были,е,ы,л,е,б,,A,БЕЛЫЙ,A - nom pl plen - -,Й
19668,,взрослые,ВЗРОСЛЫЙ,A - nom pl plen - -,,,мм ... белые _взрослые_ люди были для,е,ы,л,с,о,р,A,ВЗРОСЛЫЙ,A - nom pl plen - -,Й
19669,,люди,ЧЕЛОВЕК,S m anim nom pl,,,... белые взрослые _люди_ были для них,и,д,ю,л,,,S,ЧЕЛОВЕК,S m anim nom pl,К
19670,,были,БЫТЬ,V ipf praet pl indic - -,,,белые взрослые люди _были_ для них в,и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
19671,,для,ДЛЯ,PR,,,взрослые люди были _для_ них в ди,я,л,д,,,,PR,ДЛЯ,PR,Я
19672,,них,ОНИ,SPRO pl - - gen,,,люди были для _них_ в ди ...,х,и,н,,,,SPRO,ОНИ,SPRO pl - - loc,И
19673,,в,В,PR,,,были для них _в_ ди ... диковинку,в,,,,,,PR,В,PR,В
19674,,ди,ДИКОВИНКА,S -f sg inan acc2,distort,,для них в _ди_ ... диковинку .,и,д,,,,,NONLEX,ДИ,NONLEX,А
19675,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
